CUSTOMER_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,DATE_OF_BIRTH,REGISTRATION_DATE,IS_ACTIVE,LOYALTY_POINTS,COUNTRY,CITY,POSTAL_CODE,GENDER,ACCOUNT_BALANCE,LAST_LOGIN
610f21c9-3e17-4947-9111-3eb697574eaf,Cynthia,Mitchell,yclarke@yahoo.com,861-211-6735x853,1967-07-30,2024-02-29,False,371,Bolivia,South Carrieshire,81903,Other,3986.45,2025-04-07T01:39:26
6cdaed9d-41cb-4819-815e-a5d45611af18,Molly,York,georgejennifer@gmail.com,(903)407-7986x325,1962-05-24,2021-12-21,False,982,Latvia,Zimmermantown,27886,Female,5608.07,2025-03-13T23:30:37
b88e1cb7-ca42-4413-b032-192f8ae6622e,Phillip,Patrick,john00@morrison.com,+1-064-629-8910x9430,2006-08-26,2024-01-27,False,822,Romania,New Veronica,18763,Female,7252.49,2025-01-04T20:03:00
dee4d7ef-8a45-404f-a9f4-9a839b90f942,Melissa,Carpenter,wjones@hotmail.com,757.124.7413,1991-10-20,2024-03-25,False,805,Niue,Youngchester,19698,Other,4217.43,2025-01-21T22:45:49
c8c6896c-ce8e-4668-a7e2-62895a5dd4e3,Karen,Wilson,adam60@gmail.com,399-234-9420x453,2005-11-30,2020-06-24,True,507,Zimbabwe,Lake Erikamouth,72442,Male,3051.45,2025-02-28T19:06:10
ecdbda74-3e4c-406a-b2aa-53307b884732,Emma,Ford,icastillo@yahoo.com,235-850-2590x6119,2006-02-25,2022-11-12,False,569,Mauritius,Hallshire,67292,Female,1860.12,2025-04-22T10:06:51
ce04f30e-608b-4947-8763-e3dd56f0d30c,David,Wells,tlarsen@gmail.com,955.498.8591x1861,1979-11-25,2024-09-25,False,862,Hong Kong,South Katrina,14821,Other,3255.04,2025-02-25T19:55:29
4cd15a94-8b6d-4d28-83a7-99816a5219c0,Renee,Moreno,contrerascourtney@chavez.com,420-842-8377x3196,1972-06-08,2021-07-20,True,231,French Guiana,South William,21723,Female,2406.53,2025-01-21T19:28:23
d0a7fbee-bad1-485c-8167-f73a40dda6e6,Robert,Coleman,vmartin@hotmail.com,001-265-803-8030x126,1970-05-20,2022-09-09,True,407,Norway,Smithborough,87233,Female,1599.86,2025-04-13T05:56:02
68e010ba-dc65-4d1d-984f-7272b85c12db,Tina,Lester,candiceschroeder@alvarez-weaver.com,992-070-8663x114,1999-02-20,2023-05-17,True,162,Bhutan,Jamesburgh,05769,Male,6543.66,2025-01-18T15:44:10
